"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"1062","Charlotte Catholic High School",0,"",NA,4,3,4,3,4,3,1
"1066","Robinson, Jay M. High School",2,"Video",NA,4,4,4,4,4,3,1
"1067","Apex Friendship High School",NA,"Handout,Lecture,PowerPoint,Video",NA,4,4,4,4,3,4,1
"1068","Clinton High School",4,"Video",NA,4,3,4,4,4,4,1
"1069","Montgomery Central High School",4,"Handout",NA,3,3,3,3,3,3,1
"1072","Apex Friendship High School",0,"",NA,3,3,4,4,4,4,1
"1074","Clinton High School",3,"Handout,Video,Other",NA,3,3,4,3,4,3,1
"1077","Charlotte Catholic High School",0,"",NA,4,3,4,4,4,4,1
"1078","Apex Friendship High School",0,"",NA,4,4,4,3,4,2,1
"1079","Apex Friendship High School",0,"",NA,4,3,4,4,4,3,1
"1081","Charlotte Catholic High School",0,"",NA,3,3,4,3,4,2,1
"1083","Pamlico County High School",0,"",NA,4,4,4,3,4,4,1
"1084","Lincolnton High School",0,"",NA,3,3,4,4,4,3,1
"1085","Pamlico County High School",0,"",NA,4,4,4,4,4,4,1
"1089","Pamlico County High School",0,"",NA,4,4,4,4,4,4,1
"1091","Cuthbertson High School",0,"",NA,2,1,3,3,2,2,1
"1092","Hoke County High School",4,"Lecture,PowerPoint",NA,3,3,4,4,4,2,1
"1093","Charlotte Catholic High School",1,"Other",NA,2,3,4,4,4,4,1
"1096","North Surry High School",0,"",NA,3,4,4,4,4,4,1
"1098","Mountain Heritage High School",2,"Video",NA,3,3,4,3,4,3,1
"1101","Mountain Heritage High School",2,"Video",NA,3,4,4,4,4,4,1
"1102","Apex Friendship High School",1,"Handout,Lecture",NA,2,3,4,4,4,3,1
"1104","Apex Friendship High School",1,"Handout",NA,4,3,4,4,4,4,1
"1106","Apex Friendship High School",1,"Handout",NA,3,4,4,4,4,4,1
"1107","Apex Friendship High School",0,"",NA,3,2,3,3,4,3,1
